"i","value"
234,2.4114436677921301e-32
235,2.4201981219381387e-32
236,2.4279896528030423e-32
237,2.43421661547205e-32
238,2.4386700865911874e-32
239,2.4414192832562032e-32
240,2.4428482817029332e-32
241,2.4436181410515459e-32
242,2.444257045343248e-32
243,2.4450658920260686e-32
244,2.446279923615302e-32
245,2.4481760555316853e-32
246,2.4508850218839325e-32
247,2.4546303681929487e-32
248,2.459802861774494e-32
249,2.4664490162822385e-32
250,2.4738755233083466e-32
251,2.4812901371472154e-32
252,2.4881598776683868e-32
253,2.4941349212649731e-32
254,2.4987900794615585e-32
255,2.5022228812180457e-32
256,2.5049211188466498e-32
257,2.5075148665319238e-32
258,2.5105791790247009e-32
259,2.5145404774191327e-32
260,2.5193983712553795e-32
261,2.5249702679435699e-32
262,2.5305967414497875e-32
263,2.5357358768406071e-32
264,2.5400572043699411e-32
265,2.5433711795893581e-32
266,2.5455078122480998e-32
267,2.5460249724681345e-32
268,2.5442374999367692e-32
269,2.5391145504043526e-32
270,2.5297296722556286e-32
271,2.5154479787169151e-32
272,2.4959702284354071e-32
273,2.4712122646937411e-32
274,2.4411508472905047e-32
275,2.4053653839027915e-32
276,2.3634325538633687e-32
277,2.3152199562418429e-32
278,2.2612303347904656e-32
279,2.2024621686418737e-32
280,2.1403666946571862e-32
281,2.076531598145191e-32
282,2.0120561695982582e-32
283,1.9479066433924245e-32
284,1.8846811178900275e-32
285,1.8227341856187944e-32
286,1.7622876110352995e-32
287,1.7035429851887104e-32
288,1.6469441060622707e-32
289,1.5932303820570526e-32
290,1.5430594588586125e-32
291,1.4970327297733633e-32
292,1.4553039661573481e-32
293,1.4174516025460574e-32
294,1.3829760735391699e-32
295,1.3513594903568604e-32
296,1.3222219781013156e-32
297,1.2953277367380842e-32
298,1.2705459981601796e-32
299,1.2478303314471148e-32
300,1.2272353108347154e-32
301,1.2086345677443035e-32
302,1.1917545057962834e-32
303,1.176235897378407e-32
304,1.1615220896028953e-32
305,1.1471157954743045e-32
306,1.1327238805525724e-32
307,1.1183863929684608e-32
308,1.104305938269053e-32
309,1.0905295007953782e-32
310,1.0770046925211194e-32
311,1.063706675348136e-32
312,1.0506756576771069e-32
313,1.0379703452968186e-32
314,1.0257589681041231e-32
315,1.0143508152447576e-32
316,1.0039330555716133e-32
317,9.9463065272059823e-33
318,9.8641206310396871e-33
319,9.7917886705574019e-33
320,9.7286582923664276e-33
321,9.6738213545911097e-33
322,9.6260814492676422e-33
323,9.5844847181014071e-33
324,9.5480988569204279e-33
325,9.5155512601109884e-33
326,9.4857383667927821e-33
327,9.4580466323648783e-33
328,9.4321842799655124e-33
329,9.4080848677665034e-33
330,9.3862500245731182e-33
331,9.3675690658333023e-33
332,9.3532647204168376e-33
333,9.3443714355851428e-33
334,9.3412614358711699e-33
335,9.3444775129088474e-33
336,9.3545064895797188e-33
337,9.3716329448954913e-33
338,9.3963560500269124e-33
339,9.4295528021323041e-33
340,9.471452887069262e-33
341,9.5217789861916163e-33
342,9.5813340436216457e-33
343,9.6512632177246031e-33
344,9.7329043804370036e-33
345,9.8278878911008563e-33
346,9.9379354593619946e-33
347,1.0064637507647763e-32
348,1.0209376171044736e-32
349,1.0371792569703093e-32
350,1.0549971759894152e-32
351,1.0741718800605009e-32
352,1.0944976055592303e-32
353,1.1157844515000752e-32
354,1.1377837382100133e-32
355,1.1604017414017763e-32
356,1.1836069927522672e-32
357,1.2074014436291634e-32
358,1.231762603489721e-32
359,1.2566019379319898e-32
360,1.2818598000107226e-32
361,1.307489392426385e-32
362,1.3336994031908901e-32
363,1.3606700497750046e-32
364,1.3885058414415566e-32
365,1.4172687195065225e-32
366,1.4470944884371612e-32
367,1.4783153012351928e-32
368,1.5113952583361148e-32
369,1.5466805589126694e-32
370,1.5842388265039618e-32
371,1.624015119247483e-32
372,1.6660489864098102e-32
373,1.710638418987171e-32
374,1.7581655816264172e-32
375,1.8091424480133198e-32
376,1.8640715191179641e-32
377,1.9226234467086988e-32
378,1.9843598883987483e-32
379,2.049239094394515e-32
380,2.1176219669632441e-32
381,2.1894154390178832e-32
382,2.2641783574075181e-32
383,2.3422124635215663e-32
384,2.4244820625997956e-32
385,2.512250473368329e-32
386,2.6068782008027485e-32
387,2.7082349970411822e-32
388,2.8150608264581157e-32
389,2.9260477977763446e-32
390,3.0394702459406129e-32
391,3.1539994197599025e-32
392,3.2685348346974609e-32
393,3.3823925921853727e-32
394,3.4938847168910896e-32
395,3.5998501127500566e-32
396,3.6980753310456068e-32
397,3.787469921630355e-32
398,3.8672507754189483e-32
399,3.9377068056529071e-32
400,4.0016639427126188e-32
401,4.0642472138359617e-32
402,4.132512601727156e-32
403,4.2131207895703696e-32
404,4.3118971758776209e-32
405,4.4341470950840312e-32
406,4.5822612308904505e-32
407,4.7573622534666983e-32
408,4.9623055114949481e-32
409,5.1990997313941425e-32
410,5.4656297093863993e-32
411,5.7510466378047725e-32
412,6.0405590427464235e-32
413,6.3206863897351872e-32
414,6.5774840940857194e-32
415,6.7959566628643406e-32
416,6.9629228469264553e-32
417,7.0677243183830138e-32
418,7.1039274585803561e-32
419,7.0702044887082695e-32
420,6.9702642622232416e-32
421,6.813304679464389e-32
422,6.6110511196442035e-32
423,6.3781553972289919e-32
424,6.1323973909188235e-32
425,5.8914865238138324e-32
426,5.6710163134236485e-32
427,5.4838094317804598e-32
428,5.3377627434739851e-32
429,5.2349702555409609e-32
430,5.1725962741471343e-32
431,5.1469069794648211e-32
432,5.1505687746204257e-32
433,5.1725055542584726e-32
434,5.2004847562464165e-32
435,5.2223398846481985e-32
436,5.2287688980437226e-32
437,5.2122254662774891e-32
438,5.168520125096237e-32
439,5.0970857866076773e-32
440,4.9987056181253151e-32
441,4.874897725836764e-32
442,4.7271041614578457e-32
443,4.5599832587822161e-32
444,4.3818770299360179e-32
445,4.2019529881345357e-32
446,4.0281939410528486e-32
447,3.8669585319075871e-32
448,3.7248235151759668e-32
449,3.6101572569064843e-32
450,3.5300556873975458e-32
451,3.4934581833919797e-32
452,3.5130163179511779e-32
453,3.6081510296884882e-32
454,3.794514412301748e-32
455,4.083632492718842e-32
456,4.4954919410735859e-32
457,5.0543161070064356e-32
458,5.7751237141322835e-32
459,6.6672971782787677e-32
460,7.7033556057461376e-32
461,8.8233187104102795e-32
462,9.9738880547329895e-32
463,1.1079730879361969e-31
464,1.2068122244091068e-31
465,1.2975662741942432e-31
466,1.3925476797579696e-31
467,1.512580654001026e-31
468,1.6856986224040116e-31
469,1.9325385393498536e-31
470,2.2578387722917641e-31
471,2.639468244644425e-31
472,3.0464296147172565e-31
473,3.4611504585198607e-31
474,3.8950238973020853e-31
475,4.3846179997861397e-31
476,4.9526980258910598e-31
477,5.5497513184889771e-31
478,6.0982778138834437e-31
479,6.5512366443762813e-31
480,6.9734572516130667e-31
481,7.4891445674121788e-31
482,8.2557821851386423e-31
483,9.3291731537153262e-31
484,1.0545128553453546e-30
485,1.1600503236635329e-30
486,1.223258534515773e-30
487,1.2464516047002272e-30
488,1.2354145828753201e-30
489,1.2045695032667823e-30
490,1.1642036068233249e-30
